source_file,json_file,line_id,line_type,x1,y1,x2,y2,length,angle_deg,distance_to_vertical_deg,distance_to_horizontal_deg
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00024,vertical,103,643,103,403,240.0,-90.0,0.0,90.0
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00025,vertical,1927,1538,1929,1425,113.0177,-88.986,1.014,88.986
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00026,vertical,1421,1351,1462,1818,468.7963,84.9826,5.0174,84.9826
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00027,vertical,1083,2331,1092,2462,131.3088,86.0698,3.9302,86.0698
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00028,vertical,1939,850,1939,756,94.0,-90.0,0.0,90.0
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00029,vertical,101,1781,101,1698,83.0,-90.0,0.0,90.0
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00030,horizontal,1880,3133,2047,3133,167.0,0.0,90.0,0.0
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00031,horizontal,2658,2348,2828,2348,170.0,0.0,90.0,0.0
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00032,vertical,1935,2251,1935,1986,265.0,-90.0,0.0,90.0
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00033,vertical,1599,2158,1599,2019,139.0,-90.0,0.0,90.0
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00034,other,2571,2693,2794,2833,263.304,32.1207,57.8793,32.1207
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00035,horizontal,2492,2351,2634,2351,142.0,0.0,90.0,0.0
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00036,other,1553,2153,1590,2255,108.5035,70.062,19.938,70.062
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00037,horizontal,2480,2347,2627,2347,147.0,0.0,90.0,0.0
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00038,other,1486,1901,1508,2005,106.3015,78.0558,11.9442,78.0558
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00039,vertical,1595,2731,1603,2586,145.2205,-86.8421,3.1579,86.8421
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00040,horizontal,2697,2359,2872,2359,175.0,0.0,90.0,0.0
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00041,other,1710,1489,1746,1353,140.684,-75.1735,14.8265,75.1735
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00042,other,1789,1194,1818,1106,92.6553,-71.7606,18.2394,71.7606
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00043,horizontal,1249,2794,1535,2784,286.1748,-2.0025,87.9975,2.0025
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00044,other,1074,2341,1159,2165,195.4508,-64.2216,25.7784,64.2216
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00045,vertical,1378,1960,1378,1752,208.0,-90.0,0.0,90.0
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00046,other,1770,1277,1821,1128,157.4865,-71.1049,18.8951,71.1049
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00047,other,1142,2210,1195,2085,135.7719,-67.0231,22.9769,67.0231
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00048,other,1108,795,1155,939,151.4761,71.9239,18.0761,71.9239
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00049,other,1085,2352,1208,2061,315.9272,-67.0872,22.9128,67.0872
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00050,horizontal,524,2349,670,2349,146.0,0.0,90.0,0.0
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00051,other,1488,1954,1545,2169,222.4275,75.1515,14.8485,75.1515
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00052,vertical,3018,2197,3018,2021,176.0,-90.0,0.0,90.0
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00053,other,1571,2176,1620,2057,128.6934,-67.6199,22.3801,67.6199
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00054,vertical,1932,732,1932,609,123.0,-90.0,0.0,90.0
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00055,other,1510,2040,1608,2101,115.434,31.9002,58.0998,31.9002
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00056,vertical,94,736,94,628,108.0,-90.0,0.0,90.0
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00057,other,1078,2356,1137,2218,150.0833,-66.8515,23.1485,66.8515
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00058,vertical,1655,1145,1660,1238,93.1343,86.9225,3.0775,86.9225
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00059,vertical,1376,2157,1376,1980,177.0,-90.0,0.0,90.0
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00060,other,1552,1362,1624,1502,157.4293,62.7839,27.2161,62.7839
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00061,vertical,1934,1079,1934,881,198.0,-90.0,0.0,90.0
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00062,other,1554,2224,1605,2035,195.7601,-74.8989,15.1011,74.8989
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00063,vertical,102,1300,102,1214,86.0,-90.0,0.0,90.0
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00064,vertical,1370,1525,1370,1395,130.0,-90.0,0.0,90.0
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00065,vertical,1779,1227,1791,1140,87.8237,-82.1467,7.8533,82.1467
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00066,vertical,1637,1112,1642,1197,85.1469,86.6335,3.3665,86.6335
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00067,vertical,1244,1781,1249,1625,156.0801,-88.1642,1.8358,88.1642
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00068,vertical,1670,1607,1673,1525,82.0549,-87.9047,2.0953,87.9047
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00069,vertical,1926,1652,1926,1501,151.0,-90.0,0.0,90.0
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00070,vertical,3020,1857,3020,1770,87.0,-90.0,0.0,90.0
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00071,vertical,1653,1957,1679,1789,170.0,-81.2026,8.7974,81.2026
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00072,other,1373,1548,1404,1657,113.3225,74.1241,15.8759,74.1241
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00073,other,1333,1393,1360,1475,86.3308,71.7749,18.2251,71.7749
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00074,vertical,1379,2096,1380,2209,113.0044,89.493,0.507,89.493
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00075,vertical,1928,1896,1928,1531,365.0,-90.0,0.0,90.0
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00076,other,1750,1124,1951,1174,207.1256,13.9692,76.0308,13.9692
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00077,vertical,1277,1698,1277,1508,190.0,-90.0,0.0,90.0
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00078,vertical,1342,894,1346,1129,235.034,89.0248,0.9752,89.0248
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00079,other,1600,1451,1655,1532,97.9081,55.823,34.177,55.823
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00080,vertical,93,532,96,689,157.0287,88.9053,1.0947,88.9053
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00081,other,1614,1491,1713,1392,140.0071,-45.0,45.0,45.0
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00082,vertical,1591,2195,1605,2036,159.6152,-84.9681,5.0319,84.9681
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00083,vertical,103,1575,106,1392,183.0246,-89.0608,0.9392,89.0608
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00084,vertical,1400,1534,1405,1656,122.1024,87.6531,2.3469,87.6531
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00085,other,1487,1947,1528,2093,151.6476,74.3141,15.6859,74.3141
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00086,vertical,1635,1545,1640,1451,94.1329,-86.9552,3.0448,86.9552
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00087,vertical,1447,1385,1477,1726,342.3171,84.9723,5.0277,84.9723
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00088,other,1752,1121,2011,1186,267.0318,14.0883,75.9117,14.0883
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00089,vertical,1276,1603,1276,1394,209.0,-90.0,0.0,90.0
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00090,vertical,1379,1557,1388,1655,98.4124,84.7529,5.2471,84.7529
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00091,other,1141,2049,1183,1959,99.3177,-64.9831,25.0169,64.9831
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00092,other,1632,1551,1671,1708,161.7714,76.0497,13.9503,76.0497
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00093,other,1104,795,1161,937,153.0131,68.1291,21.8709,68.1291
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00094,vertical,1347,1531,1355,1625,94.3398,85.1355,4.8645,85.1355
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00095,other,1515,1995,1541,2115,122.7844,77.7749,12.2251,77.7749
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00096,vertical,1251,1491,1256,1381,110.1136,-87.3974,2.6026,87.3974
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00097,vertical,1088,2224,1097,2322,98.4124,84.7529,5.2471,84.7529
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00098,horizontal,967,3141,1051,3140,84.006,-0.6821,89.3179,0.6821
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00099,vertical,1385,1402,1392,1536,134.1827,87.0097,2.9903,87.0097
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00100,vertical,1650,1947,1668,1832,116.4002,-81.1041,8.8959,81.1041
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00101,vertical,1038,2207,1044,2289,82.2192,85.8151,4.1849,85.8151
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00102,vertical,1645,1998,1664,1877,122.4827,-81.076,8.924,81.076
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00103,vertical,1679,1876,1682,1967,91.0494,88.1118,1.8882,88.1118
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00104,other,1705,1427,1730,1325,105.019,-76.2284,13.7716,76.2284
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00105,other,1830,1289,1873,1102,191.8802,-77.0501,12.9499,77.0501
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00106,vertical,1369,1524,1369,1395,129.0,-90.0,0.0,90.0
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00107,other,1653,1962,1668,1878,85.3288,-79.8753,10.1247,79.8753
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00108,other,1427,1721,1470,1821,108.8531,66.7323,23.2677,66.7323
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00109,other,1716,1695,1765,1806,121.3342,66.1813,23.8187,66.1813
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00110,vertical,1590,2151,1601,2025,126.4792,-85.0106,4.9894,85.0106
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00111,vertical,107,1133,107,1035,98.0,-90.0,0.0,90.0
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00112,horizontal,2387,2355,2512,2355,125.0,0.0,90.0,0.0
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00113,other,1640,1532,1689,1614,95.5249,59.1391,30.8609,59.1391
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00114,other,1439,1753,1486,1835,94.5145,60.1799,29.8201,60.1799
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00115,vertical,93,372,94,483,111.0045,89.4838,0.5162,89.4838
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00116,vertical,3,394,5,275,119.0168,-89.0371,0.9629,89.0371
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00117,vertical,1669,1895,1680,1790,105.5746,-84.0194,5.9806,84.0194
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00118,other,1350,1530,1409,1651,134.618,64.006,25.994,64.006
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00119,other,1874,1282,1908,1194,94.3398,-68.8753,21.1247,68.8753
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00120,other,1366,1551,1397,1653,106.6068,73.0948,16.9052,73.0948
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00121,vertical,1367,1523,1367,1393,130.0,-90.0,0.0,90.0
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00122,other,1326,1537,1358,1617,86.1626,68.1986,21.8014,68.1986
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00123,other,1923,1309,1973,1177,141.1524,-69.2539,20.7461,69.2539
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00124,other,1157,2169,1196,2072,104.5466,-68.0968,21.9032,68.0968
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00125,vertical,1401,1721,1404,1804,83.0542,87.93,2.07,87.93
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00126,vertical,1683,1266,1683,1173,93.0,-90.0,0.0,90.0
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00127,vertical,1625,912,1625,800,112.0,-90.0,0.0,90.0
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00128,other,1046,811,1183,847,141.651,14.723,75.277,14.723
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00129,other,2146,1223,2267,1255,125.1599,14.8135,75.1865,14.8135
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00130,vertical,1347,1089,1347,955,134.0,-90.0,0.0,90.0
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00131,other,1885,1294,1933,1162,140.4564,-70.0169,19.9831,70.0169
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00132,other,1156,2193,1208,2071,132.6198,-66.9149,23.0851,66.9149
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00133,vertical,1371,1850,1376,1752,98.1275,-87.0793,2.9207,87.0793
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00134,vertical,3017,2319,3017,2086,233.0,-90.0,0.0,90.0
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00135,other,1679,1354,1738,1267,105.119,-55.8564,34.1436,55.8564
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00136,other,1598,738,1689,933,215.1883,64.9831,25.0169,64.9831
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00137,other,2429,2603,2618,2721,222.8116,31.9781,58.0219,31.9781
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00138,other,1541,1925,1585,2008,93.9415,62.071,27.929,62.071
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00139,other,1676,1630,1706,1719,93.9202,71.3721,18.6279,71.3721
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00140,other,2122,2409,2294,2517,203.096,32.125,57.875,32.125
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00141,horizontal,1641,3134,1765,3134,124.0,0.0,90.0,0.0
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00142,vertical,99,116,99,4,112.0,-90.0,0.0,90.0
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00143,other,1537,1884,1596,2011,140.0357,65.082,24.918,65.082
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00144,vertical,101,417,101,251,166.0,-90.0,0.0,90.0
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00145,other,2169,1385,2295,1365,127.5774,-9.0193,80.9807,9.0193
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00146,other,1634,1547,1674,1708,165.8945,76.0475,13.9525,76.0475
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00147,other,1368,1460,1425,1596,147.4619,67.2606,22.7394,67.2606
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00148,other,1151,2191,1187,2106,92.3093,-67.0459,22.9541,67.0459
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00149,other,1543,1372,1653,1536,197.474,56.149,33.851,56.149
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00150,other,1903,1302,1948,1184,126.2894,-69.1254,20.8746,69.1254
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00151,vertical,1021,1942,1022,1837,105.0048,-89.4543,0.5457,89.4543
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00152,other,1943,1316,1993,1184,141.1524,-69.2539,20.7461,69.2539
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00153,other,1084,2325,1143,2129,204.6876,-73.2471,16.7529,73.2471
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00154,vertical,992,1896,996,1997,101.0792,87.732,2.268,87.732
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00155,other,1867,1284,1914,1154,138.2353,-70.1231,19.8769,70.1231
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00156,vertical,1413,1718,1418,1807,89.1403,86.7845,3.2155,86.7845
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00157,horizontal,2223,3131,2457,3131,234.0,0.0,90.0,0.0
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00158,vertical,1725,1455,1741,1351,105.2236,-81.2538,8.7462,81.2538
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00159,other,1368,1551,1406,1655,110.7249,69.9285,20.0715,69.9285
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00160,other,1528,2062,1567,2169,113.8859,69.9739,20.0261,69.9739
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00161,vertical,1678,1584,1682,1669,85.0941,87.3057,2.6943,87.3057
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00162,horizontal,1388,3135,1518,3133,130.0154,-0.8814,89.1186,0.8814
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00163,vertical,1344,1412,1351,1509,97.2522,85.8724,4.1276,85.8724
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00164,vertical,102,1538,104,1446,92.0217,-88.7546,1.2454,88.7546
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00165,other,1560,2065,1598,2158,100.4639,67.775,22.225,67.775
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00166,vertical,1302,1632,1311,1544,88.459,-84.1605,5.8395,84.1605
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00167,vertical,1375,1528,1377,1396,132.0152,-89.1319,0.8681,89.1319
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00168,other,1116,936,1251,917,136.3305,-8.0112,81.9888,8.0112
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00169,other,1323,2321,1357,2241,86.9253,-66.9745,23.0255,66.9745
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00170,other,1581,1451,1649,1535,108.074,51.009,38.991,51.009
data\processed\03_edges\IMG_0502.png,data\processed\04_lines_hough\json\IMG_0502.json,l00171,other,1721,1772,1743,1648,125.9365,-79.9393,10.0607,79.9393
